axLength,RotTrans,nfp,helicity,rc1,zs1,rc2,zs2,b2c,r_singularity,d2_volume_d_psi2,B20_var,etabar,max_elong,lgradB,lgrad_gradB,min_R0
0,0.010151337692287205,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.0016524574884017465,-0.08025715325470882,-0.002766447009076881,-0.0037921475040160147,-3.286804214368231,0.0685148966060424,-136.85028484059072,0.26250398634142647,-0.5625139234391188,3.8570187427454226,0.8378048953634619,0.5298233575421384,0.9955810955025214
0,0.005599170163656821,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.0013027257243620107,-0.0064522584937621846,-0.00273564936316933,-0.003581891533454556,-0.013330763823049405,0.14320713220449444,281.5255714110996,0.02848626423235734,-0.575440458483601,3.272404026243937,0.9425542735159355,0.6490187576663459,0.9959616249124688
0,0.05950675132955472,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.04988682129763936,-0.13059115216712483,-0.0019739012871238595,-0.007908732515937494,-0.6499183262971174,0.04322768961430472,14.256801682491204,1.0905943278451047,-0.3452958409370788,11.325549815818189,0.47743426102168607,0.3049211638086006,0.9481392774152368
0,0.002739902186861997,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.022966681548407704,-0.0031297756315802603,-0.004404779219939669,-0.0034317589820958183,-0.030907992867480433,0.08170332184461443,52.22996457948232,0.022818598959913616,-0.27085808213724266,15.715767730766718,0.9181357054612813,0.5303154943682727,0.9726285392316526
0,0.002586520877068834,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.011457714212520212,-0.01620599696177681,-0.003370576335668351,-0.005480702363917294,-0.28944864109614316,0.08123439996964812,-5.710700959162933,0.02243177664049381,-0.23646817091032254,19.832107646000736,0.9105264872476935,0.4861448853792484,0.9851717094518114
0,0.06831786341371737,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.022119113186384806,-0.02902437340201809,-0.023625435295192624,-0.0010574265821935306,-2.2372579293912866,0.03213161657543707,1001.9096763057424,3.5593013779020968,-0.6125520088424302,4.8870136860871085,0.4723645681649254,0.11444580444284377,0.9542554515184225
0,0.0010095762789739799,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.003026649794710877,-0.047680948941296486,-0.0019411044524810105,-0.0013540046085416086,-0.028981500506225503,0.11774111856590008,43.797755583759155,0.01692306048599518,-0.2794331826952606,14.027331879493307,0.9510326919789442,0.7121188032180363,0.9950322457528081
0,0.20580637473090477,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.0014511816476430507,-0.022630336432970178,-0.014508555158972898,-0.02068405137905441,-0.012900529375072552,0.081212403196115,483.5266072948882,1.9335180845292983,-0.6343271109326978,3.702574819250246,0.5061485283927659,0.23549068594160838,0.9840402631933841
0,0.058569437595552075,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.02347084889862581,-0.0432858039713416,-0.007459597572185476,-0.0040613584689624385,-3.2813631310105693,0.06391620952607056,337.68959696406034,0.24246725423369586,-0.7756625284068022,2.1780415981038512,0.8601503960849693,0.37397921539968754,0.9690695535291887
0,0.05149980190758711,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.0013498333637081523,-0.023771129480266533,-0.01552411177883715,-0.006274093913950249,-3.4178903590749896,0.04632138830716587,-226.55705975958134,0.6256192840258548,-0.5050109985408561,5.921210353553498,0.7226738598713797,0.3002443319799146,0.9831260548574546
0,0.01246519740727404,2,<scipy.io._netcdf.netcdf_variable object at 0x7f3c48e699a0>,-0.0011289773887362166,-0.15971242898252425,-0.004689942027633021,-0.0019169994785203917,-0.19903618418109836,0.07671876851735956,357.656190584314,0.539130577111244,-0.576221736397466,5.09141363995516,0.7085925757738005,0.4252916952892838,0.9941810805836307
